Date,Open,High,Low,Close,Adj Close,Volume
2019-04-04,170.184494,170.184494,170.184494,170.184494,170.184494,0
2019-04-05,171.831894,171.831894,171.831894,171.831894,171.831894,0
2019-04-08,171.948700,171.948700,171.948700,171.948700,171.948700,0
2019-04-09,172.556503,172.556503,172.556503,172.556503,172.556503,0
2019-04-10,173.348495,173.348495,173.348495,173.348495,173.348495,0
2019-04-11,171.671799,171.671799,171.671799,171.671799,171.671799,0
2019-04-12,171.303894,171.303894,171.303894,171.303894,171.303894,0
2019-04-15,170.932098,170.932098,170.932098,170.932098,170.932098,0
2019-04-16,172.240997,172.240997,172.240997,172.240997,172.240997,0
2019-04-17,172.650803,172.650803,172.650803,172.650803,172.650803,0
2019-04-18,172.925995,172.925995,172.925995,172.925995,172.925995,0
2019-04-23,173.067398,173.067398,173.067398,173.067398,173.067398,0
2019-04-24,172.260101,172.260101,172.260101,172.260101,172.260101,0
2019-04-25,171.954102,171.954102,171.954102,171.954102,171.954102,0
2019-04-26,171.853500,171.853500,171.853500,171.853500,171.853500,0
2019-04-29,172.549301,172.549301,172.549301,172.549301,172.549301,0
2019-04-30,171.340103,171.340103,171.340103,171.340103,171.340103,0
2019-05-02,171.663696,171.663696,171.663696,171.663696,171.663696,0
2019-05-03,172.277298,172.277298,172.277298,172.277298,172.277298,0
2019-05-06,168.957001,168.957001,168.957001,168.957001,168.957001,0
2019-05-07,167.050003,167.050003,167.050003,167.050003,167.050003,0
2019-05-08,167.056793,167.056793,167.056793,167.056793,167.056793,0
2019-05-09,163.113098,163.113098,163.113098,163.113098,163.113098,0
2019-05-10,163.690994,163.690994,163.690994,163.690994,163.690994,0
2019-05-13,160.802902,160.802902,160.802902,160.802902,160.802902,0
2019-05-14,161.219101,161.219101,161.219101,161.219101,161.219101,0
2019-05-15,161.494797,161.494797,161.494797,161.494797,161.494797,0
2019-05-16,160.107193,160.107193,160.107193,160.107193,160.107193,0
2019-05-17,159.098999,159.098999,159.098999,159.098999,159.098999,0
2019-05-20,158.424301,158.424301,158.424301,158.424301,158.424301,0
2019-05-21,158.961395,158.961395,158.961395,158.961395,158.961395,0
2019-05-22,159.237793,159.237793,159.237793,159.237793,159.237793,0
2019-05-23,157.281693,157.281693,157.281693,157.281693,157.281693,0
2019-05-24,156.826096,156.826096,156.826096,156.826096,156.826096,0
2019-05-27,157.393494,157.393494,157.393494,157.393494,157.393494,0
2019-05-28,157.634903,157.634903,157.634903,157.634903,157.634903,0
2019-05-29,157.686493,157.686493,157.686493,157.686493,157.686493,0
2019-05-30,159.437897,159.437897,159.437897,159.437897,159.437897,0
2019-05-31,159.719604,159.719604,159.719604,159.719604,159.719604,0
2019-06-03,160.565308,160.565308,160.565308,160.565308,160.565308,0
2019-06-04,159.675507,159.675507,159.675507,159.675507,159.675507,0
2019-06-05,159.197693,159.197693,159.197693,159.197693,159.197693,0
2019-06-06,158.604401,158.604401,158.604401,158.604401,158.604401,0
2019-06-07,158.589401,158.589401,158.589401,158.589401,158.589401,0
2019-06-11,162.871002,162.871002,162.871002,162.871002,162.871002,0
2019-06-12,161.899994,161.899994,161.899994,161.899994,161.899994,0
2019-06-13,161.960602,161.960602,161.960602,161.960602,161.960602,0
2019-06-14,161.518600,161.518600,161.518600,161.518600,161.518600,0
2019-06-17,160.934006,160.934006,160.934006,160.934006,160.934006,0
2019-06-18,163.672806,163.672806,163.672806,163.672806,163.672806,0
2019-06-19,165.526703,165.526703,165.526703,165.526703,165.526703,0
2019-06-20,166.933594,166.933594,166.933594,166.933594,166.933594,0
2019-06-21,166.375702,166.375702,166.375702,166.375702,166.375702,0
2019-06-24,165.498703,165.498703,165.498703,165.498703,165.498703,0
2019-06-25,164.445694,164.445694,164.445694,164.445694,164.445694,0
2019-06-26,165.001205,165.001205,165.001205,165.001205,165.001205,0
2019-06-27,166.303894,166.303894,166.303894,166.303894,166.303894,0
2019-06-28,166.020798,166.020798,166.020798,166.020798,166.020798,0
2019-07-01,168.447006,168.447006,168.447006,168.447006,168.447006,0
2019-07-02,168.958206,168.958206,168.958206,168.958206,168.958206,0
2019-07-03,168.535706,168.535706,168.535706,168.535706,168.535706,0
2019-07-04,169.379105,169.379105,169.379105,169.379105,169.379105,0
2019-07-05,169.516800,169.516800,169.516800,169.516800,169.516800,0
2019-07-08,167.552307,167.552307,167.552307,167.552307,167.552307,0
2019-07-09,167.114700,167.114700,167.114700,167.114700,167.114700,0
2019-07-10,167.502396,167.502396,167.502396,167.502396,167.502396,0
2019-07-11,168.485901,168.485901,168.485901,168.485901,168.485901,0
2019-07-12,167.848404,167.848404,167.848404,167.848404,167.848404,0
2019-07-15,168.820206,168.820206,168.820206,168.820206,168.820206,0
2019-07-16,169.808105,169.808105,169.808105,169.808105,169.808105,0
2019-07-17,168.996399,168.996399,168.996399,168.996399,168.996399,0
2019-07-18,168.663605,168.663605,168.663605,168.663605,168.663605,0
2019-07-19,169.541702,169.541702,169.541702,169.541702,169.541702,0
2019-07-22,168.040298,168.040298,168.040298,168.040298,168.040298,0
2019-07-23,170.341293,170.341293,170.341293,170.341293,170.341293,0
2019-07-24,170.441299,170.441299,170.441299,170.441299,170.441299,0
2019-07-25,170.105896,170.105896,170.105896,170.105896,170.105896,0
2019-07-26,169.737106,169.737106,169.737106,169.737106,169.737106,0
2019-07-29,168.083099,168.083099,168.083099,168.083099,168.083099,0
2019-07-30,168.629303,168.629303,168.629303,168.629303,168.629303,0
2019-07-31,167.749802,167.749802,167.749802,167.749802,167.749802,0
2019-08-01,166.886597,166.886597,166.886597,166.886597,166.886597,0
2019-08-02,162.878693,162.878693,162.878693,162.878693,162.878693,0
2019-08-05,156.690308,156.690308,156.690308,156.690308,156.690308,0
2019-08-06,156.656006,156.656006,156.656006,156.656006,156.656006,0
2019-08-07,156.243896,156.243896,156.243896,156.243896,156.243896,0
2019-08-08,158.381699,158.381699,158.381699,158.381699,158.381699,0
2019-08-09,157.833405,157.833405,157.833405,157.833405,157.833405,0
2019-08-12,156.507904,156.507904,156.507904,156.507904,156.507904,0
2019-08-13,156.109100,156.109100,156.109100,156.109100,156.109100,0
2019-08-14,155.887497,155.887497,155.887497,155.887497,155.887497,0
2019-08-15,156.342896,156.342896,156.342896,156.342896,156.342896,0
2019-08-16,157.565994,157.565994,157.565994,157.565994,157.565994,0
2019-08-19,158.903107,158.903107,158.903107,158.903107,158.903107,0
2019-08-20,159.389008,159.389008,159.389008,159.389008,159.389008,0
2019-08-21,159.837097,159.837097,159.837097,159.837097,159.837097,0
2019-08-22,158.802902,158.802902,158.802902,158.802902,158.802902,0
2019-08-23,158.091904,158.091904,158.091904,158.091904,158.091904,0
2019-08-26,155.935806,155.935806,155.935806,155.935806,155.935806,0
